step,new_task,epochs_run,task,r2,mae,samples,primary,points,accuracy,macro_f1
9,magnetization,33,dielectric_ionic,0.4301758197371782,0.5574898736271389,719,0.4301758197371782,,,
9,magnetization,33,dielectric_electronic,0.7280924603859095,0.29449323231179436,719,0.7280924603859095,,,
9,magnetization,33,magnetization,0.5126093243852803,0.4934639662555711,244,0.5126093243852803,,,
10,curie,45,density,0.9677939894450139,0.13655256325986778,5235,0.9677939894450139,,,
10,curie,45,efermi,0.8683974312390157,0.26497611146283856,5233,0.8683974312390157,,,
10,curie,45,final_energy,0.4259559932571726,0.5486542158049484,5235,0.4259559932571726,,,
10,curie,45,total_magnetization,0.510253910848608,0.48559290349834694,5235,0.510253910848608,,,
10,curie,45,volume,0.34503999594083157,0.6695944100259351,5235,0.34503999594083157,,,
10,curie,45,dielectric_total,0.5657483139872881,0.4883561875330074,719,0.5657483139872881,,,
10,curie,45,dielectric_ionic,0.4164938655734135,0.567152192817418,719,0.4164938655734135,,,
10,curie,45,dielectric_electronic,0.6738092518171366,0.3141301047338976,719,0.6738092518171366,,,
10,curie,45,magnetization,0.43718958894362425,0.5540380490652521,244,0.43718958894362425,,,
10,curie,45,curie,0.6467411883131771,0.4095839857265024,1423,0.6467411883131771,,,
11,neel,44,density,0.9666987231184924,0.13745080685108582,5235,0.9666987231184924,,,
11,neel,44,efermi,0.8585230214051911,0.27880394751419735,5233,0.8585230214051911,,,
11,neel,44,final_energy,0.4419414270522688,0.5396277701959445,5235,0.4419414270522688,,,
11,neel,44,total_magnetization,0.45760829954797777,0.5424616682269173,5235,0.45760829954797777,,,
11,neel,44,volume,0.34185467948651094,0.6642084047316601,5235,0.34185467948651094,,,
11,neel,44,dielectric_total,0.555757480671059,0.4976672275568877,719,0.555757480671059,,,
11,neel,44,dielectric_ionic,0.3969750560453581,0.5804404679707577,719,0.3969750560453581,,,
11,neel,44,dielectric_electronic,0.6827771033021881,0.32603702476207264,719,0.6827771033021881,,,
11,neel,44,magnetization,0.27567885627543287,0.610567895269878,244,0.27567885627543287,,,
11,neel,44,curie,0.5722257507881758,0.46590757040819203,1423,0.5722257507881758,,,
11,neel,44,neel,0.5777333019294753,0.4739002169132083,849,0.5777333019294753,,,
12,kp,27,density,0.9605859986657246,0.15227084226536028,5386,0.9605859986657246,,,
