step,new_task,epochs_run,task,r2,mae,samples,primary,points,accuracy,macro_f1
16,thermal_conductivity,53,dielectric_electronic,0.8048333842997657,0.26582960854735577,815,0.8048333842997657,,,
16,thermal_conductivity,53,magnetization,0.6415652203369724,0.44165801433765656,244,0.6415652203369724,,,
16,thermal_conductivity,53,curie,0.5528235413677596,0.47306332836970677,1424,0.5528235413677596,,,
16,thermal_conductivity,53,neel,0.5665660346010643,0.47169339249493425,857,0.5665660346010643,,,
16,thermal_conductivity,53,kp,0.5089565548429322,0.49827616961556115,1045,0.5089565548429322,,,
16,thermal_conductivity,53,magnetic_susceptibility,-0.07267784328641569,0.36834777627235543,20,-0.07267784328641569,6000.0,,
16,thermal_conductivity,53,zt,0.5538311248274477,0.4922989068149667,774,0.5538311248274477,232200.0,,
16,thermal_conductivity,53,power_factor,0.5606840830747777,0.4978388021841123,802,0.5606840830747777,240600.0,,
16,thermal_conductivity,53,thermal_conductivity,0.6339388701212827,0.43375731847996385,937,0.6339388701212827,281100.0,,
17,electrical_resistivity,38,density,0.9588571724164038,0.15019998970629883,5386,0.9588571724164038,,,
17,electrical_resistivity,38,efermi,0.8575023256420571,0.27871592856316413,5384,0.8575023256420571,,,
17,electrical_resistivity,38,final_energy,0.37047498713009586,0.6070237245322024,5386,0.37047498713009586,,,
17,electrical_resistivity,38,total_magnetization,0.39510026482774707,0.5277725033361652,5386,0.39510026482774707,,,
17,electrical_resistivity,38,volume,0.2880148043741251,0.684345177807973,5386,0.2880148043741251,,,
17,electrical_resistivity,38,dielectric_total,0.571885631370777,0.4668486889327518,815,0.571885631370777,,,
17,electrical_resistivity,38,dielectric_ionic,0.4881320728765334,0.5184907112747313,815,0.4881320728765334,,,
17,electrical_resistivity,38,dielectric_electronic,0.7950305349951854,0.27478921426737074,815,0.7950305349951854,,,
17,electrical_resistivity,38,magnetization,0.6653978381200306,0.4164350087801653,244,0.6653978381200306,,,
17,electrical_resistivity,38,curie,0.5827619565216928,0.46795124016100215,1424,0.5827619565216928,,,
17,electrical_resistivity,38,neel,0.5872503574011917,0.46697637767920774,857,0.5872503574011917,,,
17,electrical_resistivity,38,kp,0.49475572622680564,0.49552390512212086,1045,0.49475572622680564,,,
17,electrical_resistivity,38,magnetic_susceptibility,-0.01833564016395184,0.34870376650655566,20,-0.01833564016395184,6000.0,,
17,electrical_resistivity,38,zt,0.5400116241562223,0.5139154510625632,774,0.5400116241562223,232200.0,,
17,electrical_resistivity,38,power_factor,0.5648245106075569,0.5029328066078178,802,0.5648245106075569,240600.0,,
17,electrical_resistivity,38,thermal_conductivity,0.545250778126759,0.4901796295615506,937,0.545250778126759,281100.0,,
17,electrical_resistivity,38,electrical_resistivity,0.13372062691351838,0.3759966254220877,1105,0.13372062691351838,331500.0,,
18,dos_density,63,density,0.9605457883342071,0.14734569853827353,5386,0.9605457883342071,,,
18,dos_density,63,efermi,0.8501055348745384,0.2902780927489133,5384,0.8501055348745384,,,
